Date|Open|High|Low|Close|Volume|Market Cap
Mar 18, 2017|0.224732|0.235796|0.202688|0.208468|4,573|728,674
Mar 17, 2017|0.240065|0.253674|0.221322|0.221455|12,874|778,073
Mar 16, 2017|0.283646|0.287620|0.236665|0.241262|23,471|918,949
Mar 15, 2017|0.299574|0.305633|0.273462|0.283256|9,700|970,156
Mar 14, 2017|0.285496|0.305394|0.281983|0.292262|16,154|924,188
Mar 13, 2017|0.288317|0.305860|0.280656|0.303179|21,609|932,938
Mar 12, 2017|0.275018|0.294645|0.261894|0.288281|7,541|889,543
Mar 11, 2017|0.268691|0.286099|0.250400|0.266687|20,843|868,720
Mar 10, 2017|0.344726|0.349637|0.242349|0.268612|37,703|1,114,090
Mar 09, 2017|0.336745|0.343516|0.285036|0.323763|35,621|1,087,850
Mar 08, 2017|0.300019|0.340791|0.281688|0.337927|35,214|968,803
Mar 07, 2017|0.310374|0.316886|0.274324|0.300095|6,833|1,001,830
Mar 06, 2017|0.276232|0.345428|0.270316|0.310281|27,626|891,256
Mar 05, 2017|0.242585|0.284959|0.241377|0.269661|3,157|782,358
Mar 04, 2017|0.252228|0.256345|0.238978|0.242751|8,672|813,114
Mar 03, 2017|0.226527|0.269580|0.212817|0.251746|8,795|729,961
Mar 02, 2017|0.253181|0.281821|0.223625|0.226581|22,956|815,508
Mar 01, 2017|0.286523|0.292207|0.242899|0.256821|9,748|922,520
Feb 28, 2017|0.271899|0.296620|0.264490|0.286506|7,948|875,070
Feb 27, 2017|0.233392|0.301181|0.233325|0.271509|20,346|750,820
Feb 26, 2017|0.249825|0.255421|0.232227|0.233676|9,438|803,348
Feb 25, 2017|0.259798|0.279986|0.239268|0.249731|19,288|835,056
Feb 24, 2017|0.290758|0.301586|0.243613|0.260524|27,281|934,159
Feb 23, 2017|0.330096|0.333646|0.287864|0.289273|70,162|1,060,070
Feb 22, 2017|0.269041|0.339100|0.264605|0.330125|87,888|863,615
Feb 21, 2017|0.284862|0.286575|0.262635|0.269162|67,471|913,989
Feb 20, 2017|0.279287|0.305251|0.236042|0.285181|95,009|895,713
Feb 19, 2017|0.213045|0.331343|0.210844|0.267384|175,032|682,965
Feb 18, 2017|0.236121|0.274857|0.179905|0.212977|124,672|756,566
Feb 17, 2017|0.257854|0.277126|0.213378|0.235446|195,657|825,783
Feb 16, 2017|0.236702|0.296318|0.233749|0.258180|1,408,390|757,681
Feb 15, 2017|0.103147|0.225617|0.101295|0.225617|621,304|330,028
Feb 14, 2017|0.105035|0.109883|0.100739|0.102975|2,559|335,922
Feb 13, 2017|0.106053|0.109173|0.101707|0.104916|1,600|339,031
Feb 12, 2017|0.109197|0.115224|0.106066|0.106085|2,429|348,931
Feb 11, 2017|0.111664|0.119866|0.108387|0.109297|3,388|356,657
Feb 10, 2017|0.115591|0.116653|0.106259|0.113515|2,725|369,038
Feb 09, 2017|0.117318|0.124168|0.106489|0.115446|5,122|374,388
Feb 08, 2017|0.113920|0.126186|0.113920|0.117139|6,671|363,387
Feb 07, 2017|0.130454|0.130725|0.113205|0.116871|11,904|415,948
Feb 06, 2017|0.109184|0.138167|0.105335|0.130347|21,173|347,978
Feb 05, 2017|0.114998|0.115488|0.106457|0.109072|5,140|366,349
Feb 04, 2017|0.125362|0.132009|0.109887|0.111143|21,305|399,190
Feb 03, 2017|0.112684|0.132260|0.102629|0.125182|26,798|358,667
