#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
75|LBRY Credits|LBC|$38,531,567|$0.562303|68,524,524|$4,879,125|-0.95%|10.31%|139.41%|False|False
76|iExec RLC|RLC|$35,958,249|$0.454760|79,070,793|$251,319|-0.39%|3.97%|65.89%|True|False
77|Storj|STORJ|$34,555,991|$0.506673|68,201,765|$383,804|-0.76%|5.53%|52.77%|True|False
78|Blocknet|BLOCK|$32,981,667|$8.33|3,959,518|$144,155|-0.34%|16.08%|91.33%|True|False
79|Namecoin|NMC|$32,287,686|$2.19|14,736,400|$805,038|-0.55%|2.66%|32.75%|False|False
80|Peerplays|PPY|$31,887,213|$8.65|3,687,820|$7,101|-1.01%|2.38%|42.02%|True|False
81|Etheroll|DICE|$31,326,758|$4.47|7,001,623|$82,842|-0.33%|4.81%|29.80%|True|False
82|MonaCoin|MONA|$31,169,841|$0.591331|52,711,330|$86,734|-0.50%|5.00%|30.13%|False|False
83|Melon|MLN|$31,045,066|$51.79|599,400|$184,235|-0.40%|1.04%|26.06%|True|False
84|Counterparty|XCP|$30,995,151|$11.84|2,618,339|$474,328|-0.76%|12.73%|84.15%|True|False
85|Xaurum|XAUR|$30,307,421|$0.238433|127,110,967|$75,657|-0.73%|0.22%|15.50%|True|False
86|Quantum Resis...|QRL|$30,248,910|$0.581710|52,000,000|$337,496|-1.02%|12.71%|75.40%|True|False
87|Humaniq|HMQ|$29,756,848|$0.182716|162,858,414|$255,568|-0.53%|2.66%|94.82%|True|False
88|vSlice|VSL|$29,037,779|$0.869642|33,390,496|$235,734|-0.24%|16.89%|95.46%|True|False
89|Gulden|NLG|$28,619,441|$0.081882|349,520,568|$123,643|-0.15%|-1.89%|15.65%|False|False
90|BitBay|BAY|$28,354,879|$0.028140|1,007,621,385|$31,271|-0.64%|0.70%|88.65%|True|False
91|Viacoin|VIA|$27,797,060|$1.22|22,760,077|$753,942|-0.86%|-2.18%|109.90%|False|False
92|FairCoin|FAIR|$27,782,886|$0.522295|53,193,831|$77,042|-0.05%|9.98%|123.20%|True|False
93|SIBCoin|SIB|$27,269,345|$1.81|15,069,855|$162,989|-0.20%|12.14%|48.96%|False|False
94|Synereo|AMP|$26,461,458|$0.321695|82,256,324|$1,075,823|-1.01%|13.81%|113.97%|True|False
95|CloakCoin|CLOAK|$25,656,132|$5.06|5,067,464|$178,019|-0.43%|-12.16%|31.55%|True|False
96|BlackCoin|BLK|$23,791,964|$0.311956|76,267,130|$1,978,574|-1.63%|-3.50%|78.23%|True|False
97|PotCoin|POT|$23,649,548|$0.108788|217,390,761|$424,933|-0.93%|4.98%|58.07%|False|False
98|Omni|OMNI|$23,103,541|$41.30|559,367|$250,294|-0.47%|7.46%|51.00%|True|False
99|Skycoin|SKY|$22,707,399|$3.91|5,814,910|$95,824|-0.41%|-1.61%|24.19%|True|False
100|ZCoin|XZC|$22,419,116|$8.59|2,610,933|$688,819|-1.75%|4.29%|49.58%|False|False
101|Vertcoin|VTC|$22,312,280|$0.601670|37,083,947|$1,871,352|-0.72%|1.91%|81.36%|False|False
102|Quantum|QAU|$21,849,412|$0.266628|81,947,080|$71,777|-0.14%|0.63%|23.65%|True|False
103|Burst|BURST|$21,336,803|$0.011811|1,806,483,385|$1,527,872|-0.38%|16.01%|64.53%|False|False
104|Soarcoin|SOAR|$21,007,942|$0.032072|655,027,350|$21,354|-0.75%|-7.84%|-18.67%|True|False
105|E-Dinar Coin|EDR|$19,870,742|$0.022422|886,211,988|$386,362|-1.38%|-15.64%|3.39%|False|False
106|YbCoin|YBC|$19,674,270|$6.51|3,020,462|$1,252,785|-1.03%|0.52%|31.03%|True|False
107|OBITS|OBITS|$19,575,407|$1.22|15,992,500|$35,291|0.17%|12.43%|26.22%|True|False
108|adToken|ADT|$19,206,473|$0.032011|600,000,000|$40,971|0.04%|1.97%|45.92%|True|False
109|Rialto|XRL|$18,915,782|$0.249547|75,800,394|$32,775|-1.38%|4.56%|195.68%|True|False
110|Mysterium|MYST|$18,607,797|$0.957732|19,429,024|$313,173|0.34%|30.48%|94.92%|True|False
111|NAV Coin|NAV|$18,330,041|$0.297933|61,524,072|$157,892|-0.59%|6.80%|70.12%|True|False
112|TokenCard|TKN|$17,987,735|$0.760772|23,644,056|$143,528|-0.34%|5.36%|46.68%|True|False
113|Elastic|XEL|$17,613,046|$0.216908|81,200,459|$511,550|-0.29%|4.74%|58.74%|True|False
114|I/O Coin|IOC|$17,423,585|$1.07|16,351,266|$36,355|-0.44%|6.61%|44.41%|True|False
115|Mooncoin|MOON|$17,420,364|$0.000078|222,160,082,403|$14,697|0.02%|17.12%|38.97%|False|False
116|SuperNET|UNITY|$17,066,215|$20.91|816,061|$751|-1.79%|-28.54%|97.38%|True|False
117|Expanse|EXP|$16,862,217|$2.20|7,656,812|$399,724|-0.89%|15.38%|52.90%|False|False
