#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
120|CloakCoin|CLOAK|$1,648,459|$0.331198|4,977,261|$6,310|0.10%|4.51%|-21.41%|True|False
121|Energycoin|ENRG|$1,552,050|$0.012849|120,795,682|$759|0.78%|2.73%|24.46%|False|False
122|Lykke|LKK|$1,542,579|$0.051419|30,000,000|$9,794|0.05%|0.11%|2.75%|True|False
123|BitSend|BSD|$1,538,108|$0.105145|14,628,493|$38,280|0.09%|-4.62%|-34.94%|False|False
124|Auroracoin|AUR|$1,498,894|$0.173120|8,658,139|$1,097|-0.02%|0.14%|11.07%|False|True
125|Blocknet|BLOCK|$1,493,160|$0.381832|3,910,516|$3,905|-0.25%|-2.92%|29.62%|True|False
126|vTorrent|VTR|$1,458,464|$0.134844|10,815,966|$1,319|-1.09%|-8.80%|35.60%|False|False
127|Safe Exchange...|SAFEX|$1,446,113|$0.000673|2,147,483,647|$8,138|0.05%|6.67%|50.09%|True|False
128|Bitmark|BTM|$1,363,406|$0.349486|3,901,180|$24,360|-0.02%|11.83%|19.13%|False|False
129|E-Dinar Coin|EDR|$1,314,476|$0.096499|13,621,634|$388,514|0.27%|36.30%|-55.18%|False|False
130|DNotes|NOTE|$1,314,253|$0.011851|110,895,736|$10,489|-0.05%|-2.22%|5.67%|False|False
131|EarthCoin|EAC|$1,302,759|$0.000139|9,346,468,332|$35,516|-0.13%|1.40%|9.14%|False|False
132|Centurion|CNT|$1,292,485|$0.030056|43,002,333|$31,734|-0.33%|-29.99%|97.86%|False|False
133|Waves Communi...|WCT|$1,281,713|$0.320428|4,000,000|$122|6.61%|6.11%|-5.74%|True|False
134|Unobtanium|UNO|$1,264,816|$6.40|197,675|$11,922|-0.04%|1.00%|-17.10%|False|False
135|Vcash|XVC|$1,250,760|$0.082290|15,199,377|$29,742|4.72%|10.67%|4.27%|False|False
136|Einsteinium|EMC2|$1,218,064|$0.005809|209,697,713|$140,153|-0.31%|-1.46%|47.15%|False|False
137|Qora|QORA|$1,185,213|$0.000119|10,000,000,000|$33,607|0.89%|6.00%|2.60%|True|False
138|DigitalNote|XDN|$1,140,107|$0.000166|6,878,357,821|$6,779|-0.61%|-8.93%|-10.65%|False|False
139|SpreadCoin|SPR|$1,124,508|$0.144165|7,800,143|$2,570|-0.36%|-5.90%|-13.54%|False|False
140|DubaiCoin|DBIC|$1,054,109|$0.177535|5,937,465|$1,358|-0.47%|7.49%|-0.02%|False|False
141|Steem Dollars|SBD|$1,051,690|$1.01|1,045,631|$16,773|-0.11%|0.98%|-9.86%|True|False
142|Groestlcoin|GRS|$971,738|$0.014467|67,169,451|$14,940|-0.21%|-12.94%|52.60%|False|False
143|BlockPay|BLOCKPAY|$963,860|$0.177562|5,428,300|$3,903|-0.38%|-0.91%|-9.77%|True|False
144|Riecoin|RIC|$957,892|$0.029349|32,637,965|$512,176|0.14%|18.96%|54.64%|False|False
145|Darcrus|DAR|$955,371|$0.070100|13,628,655|$5,234|0.21%|-1.28%|6.41%|True|False
146|FoldingCoin|FLDC|$950,086|$0.002040|465,833,654|$19,268|0.12%|-0.23%|-2.95%|True|False
147|Wild Beast Block|WBB|$927,101|$0.410346|2,259,317|$3,631|-0.86%|5.88%|-16.37%|False|False
148|Project Decorum|PDC|$913,722|$0.018274|50,000,000|Low Vol|-0.11%|-1.42%|12.92%|True|False
149|Triggers|TRIG|$884,487|$0.027549|32,105,593|$1,230|-0.26%|3.22%|-2.02%|True|False
150|Scotcoin|SCOT|$883,270|$0.000883|1,000,000,000|$591|-0.18%|5.37%|-21.80%|True|False
