#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
80|Skycoin|SKY|$8,448,912|$1.56|5,415,299|$25,121|2.43%|42.83%|45.09%|True|False
81|Global Curren...|GCR|$8,236,362|$0.080338|102,521,262|$57,245|-0.81%|-8.95%|119.10%|True|False
82|Expanse|EXP|$8,044,600|$1.14|7,027,378|$158,171|0.20%|10.51%|4.61%|False|False
83|vSlice|VSL|$7,675,017|$0.229856|33,390,496|$149,577|0.27%|7.01%|13.07%|True|False
84|Lunyr|LUN|$7,380,350|$3.21|2,297,853|$253,540|-0.46%|16.44%|?|True|False
85|Arcade Token|ARC|$7,369,591|$2.27|3,248,814|Low Vol|1.00%|13.73%|115.49%|True|False
86|VPNCoin|VASH|$7,249,170|$0.018108|400,339,746|$3,614,674|-0.17%|25.97%|60.49%|True|False
87|GridCoin|GRC|$7,228,009|$0.018539|389,883,188|$254,102|0.46%|19.42%|29.57%|False|False
88|ION|ION|$7,049,726|$0.536458|13,141,236|$6,205|0.28%|1.97%|18.92%|True|False
89|Asch|XAS|$6,660,106|$0.088801|75,000,000|$73,377|0.55%|3.81%|188.17%|False|False
90|Burst|BURST|$6,650,802|$0.003772|1,763,375,235|$598,241|0.03%|22.40%|37.39%|False|False
91|LBRY Credits|LBC|$6,574,069|$0.099674|65,955,737|$387,970|-0.15%|13.27%|18.77%|False|False
92|Primecoin|XPM|$6,534,398|$0.343729|19,010,309|$927,873|-0.36%|11.49%|26.83%|False|False
93|Radium|RADS|$6,310,067|$1.96|3,219,352|$105,879|-0.07%|5.10%|25.58%|True|False
94|MonaCoin|MONA|$6,238,824|$0.126445|49,340,196|$19,475|-0.02%|3.68%|2.68%|False|False
95|MonetaryUnit|MUE|$6,231,971|$0.052208|119,368,182|$45,648|0.89%|-0.79%|10.29%|False|False
96|Omni|OMNI|$6,231,532|$11.15|558,770|$99,639|0.10%|17.78%|69.68%|True|False
97|Waves Communi...|WCT|$6,187,454|$1.24|5,000,000|$4,415|3.22%|28.10%|11.40%|True|False
98|Blocknet|BLOCK|$6,176,755|$1.58|3,910,516|$28,439|-0.43%|10.89%|-21.84%|True|False
99|EarthCoin|EAC|$6,170,624|$0.000660|9,346,468,332|$5,106,577|1.81%|56.22%|158.17%|False|False
100|Viacoin|VIA|$5,615,637|$0.248618|22,587,373|$281,346|0.36%|11.81%|31.79%|False|False
101|SuperNET|UNITY|$5,532,769|$6.78|816,061|Low Vol|1.12%|23.45%|40.49%|True|False
102|Bitcoin Plus|XBC|$5,529,715|$57.62|95,964|$539,689|0.14%|11.03%|20.70%|True|False
103|Scotcoin|SCOT|$5,413,846|$0.005414|1,000,000,000|Low Vol|-0.14%|?|?|True|False
104|Darcrus|DAR|$5,275,607|$0.387097|13,628,655|$69,751|-0.52%|8.34%|61.10%|True|False
105|Pascal Coin|PASC|$5,169,900|$0.567498|9,109,982|$2,162,166|-0.12%|39.17%|59.22%|False|False
106|BelaCoin|BELA|$5,045,892|$0.147904|34,116,032|$375,700|-0.14%|4.67%|9.66%|False|False
107|SolarCoin|SLR|$4,743,579|$0.135069|35,119,709|$7,032|-0.11%|1.68%|18.92%|True|False
108|Feathercoin|FTC|$4,604,965|$0.028615|160,926,569|$75,378|0.19%|-3.81%|57.34%|False|False
109|SIBCoin|SIB|$4,509,256|$0.313788|14,370,373|$18,403|0.14%|2.89%|19.85%|False|False
110|HEAT|HEAT|$4,428,305|$0.171881|25,763,794|$16,370|1.46%|13.30%|62.80%|True|False
111|NautilusCoin|NAUT|$4,427,175|$0.273620|16,180,000|$267,398|-0.32%|11.77%|30.10%|True|False
112|Shift|SHIFT|$4,330,568|$0.402941|10,747,389|$35,079|-0.25%|3.05%|75.73%|False|False
113|Gambit|GAM|$4,266,417|$3.32|1,285,152|$55,716|-0.77%|9.06%|96.18%|True|False
114|VeriCoin|VRC|$4,024,842|$0.133446|30,160,837|$400,506|0.38%|19.15%|54.44%|False|False
115|PoSW Coin|POSW|$4,022,902|$0.098120|41,000,000|$77,746|-0.64%|-2.33%|-20.40%|True|False
116|NeosCoin|NEOS|$3,916,743|$1.18|3,310,874|$79,036|-0.01%|5.22%|30.92%|False|False
117|Incent|INCNT|$3,860,977|$0.167808|23,008,312|$81,376|1.67%|16.16%|5.75%|True|False
118|PinkCoin|PINK|$3,847,667|$0.012469|308,571,380|$635,873|-0.17%|4.27%|82.55%|False|False
119|Pepe Cash|PEPECASH|$3,836,944|$0.005467|701,884,009|$12,240|-1.00%|12.41%|9.20%|True|False
120|Aeon|AEON|$3,739,700|$0.265685|14,075,715|$4,389|0.33%|0.18%|15.36%|False|False
121|E-Dinar Coin|EDR|$3,658,096|$0.042860|85,350,188|$268,834|-0.08%|-3.17%|-25.32%|False|False
122|LoMoCoin|LMC|$3,463,657|$0.016745|206,850,282|$5,676|0.16%|0.38%|-3.26%|True|False
123|Energycoin|ENRG|$3,285,478|$0.027182|120,871,105|$2,283|-0.19%|3.98%|34.83%|False|False
124|FairCoin|FAIR|$3,218,445|$0.060652|53,064,102|$784|-0.26%|4.26%|17.40%|True|False
125|Megacoin|MEC|$3,149,423|$0.095767|32,886,450|$475,556|-0.04%|3.94%|4.05%|False|False
126|Golos|GOLOS|$3,139,047|$0.025709|122,098,188|$8,198|0.34%|5.02%|2.16%|False|False
127|FlorinCoin|FLO|$3,122,383|$0.025140|124,197,561|$107,218|1.00%|13.23%|30.74%|False|False
128|ShadowCash|SDC|$3,112,516|$0.467489|6,657,943|$7,812|-0.08%|12.40%|-8.75%|True|False
129|MergeCoin|MGC|$3,100,566|$0.091291|33,963,472|$2,143,257|-0.15%|5.29%|-15.62%|True|False
130|Einsteinium|EMC2|$3,010,676|$0.014336|210,004,827|$198,560|0.88%|18.12%|43.77%|False|False
131|Janus|JNS|$2,958,635|$0.160206|18,467,709|$1,380|0.61%|2.48%|99.88%|True|False
132|Unobtanium|UNO|$2,929,541|$14.82|197,701|$16,473|0.80%|6.99%|39.20%|False|False
133|FirstCoin|FRST|$2,853,771|$1.24|2,296,343|$26,580|-0.21%|-0.13%|15.26%|False|False
134|Auroracoin|AUR|$2,820,530|$0.325766|8,658,139|$59,206|-0.12%|24.03%|54.73%|False|True
135|CloakCoin|CLOAK|$2,706,845|$0.542295|4,991,462|$9,371|0.67%|25.79%|7.58%|True|False
136|WorldCoin|WDC|$2,664,768|$0.023327|114,235,430|$75,334|0.85%|33.34%|63.74%|False|False
137|DNotes|NOTE|$2,621,911|$0.023643|110,895,736|$121,219|0.72%|21.79%|55.36%|False|False
138|DubaiCoin|DBIX|$2,539,184|$2.98|851,685|$39,666|-0.33%|1.31%|-5.83%|False|False
139|FoldingCoin|FLDC|$2,455,344|$0.005096|481,783,651|$1,080,447|-0.98%|24.30%|64.26%|True|False
140|Vcash|XVC|$2,453,078|$0.161092|15,227,778|$267,181|0.57%|16.85%|52.23%|False|False
141|MUSE|MUSE|$2,449,106|$0.001781|1,374,840,478|$5,945|0.99%|17.07%|294.32%|True|False
142|Digitalcoin|DGC|$2,409,815|$0.070074|34,389,793|$243,251|-0.31%|-1.61%|41.38%|False|False
143|SpreadCoin|SPR|$2,327,169|$0.291840|7,974,133|$8,455|-0.81%|-9.45%|10.97%|False|False
144|SaluS|SLS|$2,230,016|$2.22|1,003,330|$2,266|0.04%|6.77%|0.75%|True|False
145|Safe Exchange...|SAFEX|$2,189,270|$0.001019|2,147,483,647|$31,816|-0.70%|-2.22%|35.32%|True|False
146|BitSend|BSD|$2,133,437|$0.142675|14,953,174|$22,342|-0.33%|-2.01%|-18.42%|False|False
147|Zennies|ZENI|$2,121,286|$0.002120|1,000,661,841|$9,767|0.05%|-22.07%|6.01%|True|False
148|ReddCoin|RDD|$2,119,929|$0.000075|28,279,196,459|$14,339|0.31%|15.74%|-15.56%|True|False
149|Bitmark|BTM|$2,091,841|$0.536207|3,901,180|$167,312|0.37%|17.38%|33.38%|False|False
150|CureCoin|CURE|$2,084,204|$0.078854|26,431,310|$22,662|-1.19%|26.29%|42.40%|False|True
151|Riecoin|RIC|$2,029,488|$0.060678|33,446,591|$199,668|0.20%|-0.13%|26.28%|False|False
152|Yocoin|YOC|$2,004,064|$0.018974|105,618,830|$153,854|0.34%|7.28%|29.25%|True|False
153|Ethereum Movi...|EMV|$1,977,786|$0.301186|6,566,666|Low Vol|2.71%|5.96%|42.84%|True|False
154|ZcCoin|ZCC|$1,915,638|$0.031069|61,657,044|$520,799|-0.53%|6.99%|27.48%|False|False
155|Groestlcoin|GRS|$1,909,178|$0.028324|67,405,619|$7,654|-0.22%|2.06%|5.98%|False|False
156|GoldCoin|GLD|$1,893,760|$0.047119|40,190,584|$18,241|-0.14%|-0.36%|-21.08%|False|False
157|CryptoCarbon|CCRB|$1,810,219|$0.508187|3,562,111|$1,099|-0.40%|0.15%|-3.59%|True|False
158|XtraBYtes|XBY|$1,783,797|$0.002744|650,000,000|$72,424|1.98%|22.11%|85.85%|True|False
159|Infinitecoin|IFC|$1,756,175|$0.000019|90,596,274,910|$263,045|1.28%|24.51%|51.41%|False|False
160|DeepWebCash|DWC|$1,737,146|$1.52|1,142,350|$40,126|0.12%|1.41%|1544.85%|False|False
161|OBITS|OBITS|$1,736,268|$0.177150|9,801,100|$50,811|0.98%|8.21%|57.39%|True|False
162|BoostCoin|BOST|$1,729,539|$0.145885|11,855,487|$313,252|-0.25%|9.66%|22.93%|False|False
163|FedoraCoin|TIPS|$1,719,805|$0.000004|443,168,182,458|$4,000|0.79%|7.17%|-7.09%|False|False
164|Veros|VRS|$1,707,269|$0.021136|80,773,786|$29,415|3.17%|-15.45%|-46.83%|True|False
165|Wild Beast Block|WBB|$1,704,495|$0.740178|2,302,818|$3,095|-0.12%|0.64%|-8.37%|False|False
166|Atmos|ATMS|$1,696,607|$0.016959|100,039,464|$60,459|0.62%|23.23%|32.06%|True|False
167|Quark|QRK|$1,667,745|$0.006668|250,101,047|$10,245|0.75%|11.43%|18.92%|False|False
168|TransferCoin|TX|$1,663,460|$0.280154|5,937,666|$7,722|0.42%|-0.19%|29.32%|True|False
169|Steem Dollars|SBD|$1,621,816|$1.51|1,072,996|$118,243|-0.04%|9.49%|17.30%|True|False
170|Diamond|DMD|$1,577,799|$0.758726|2,079,539|$1,201|-0.03%|3.32%|10.10%|False|False
171|Mooncoin|MOON|$1,542,475|$0.000007|221,862,307,364|$2,632|1.25%|36.17%|126.86%|False|False
172|ArcticCoin|ARC|$1,477,163|$0.063837|23,139,486|$18,098|0.83%|2.58%|-42.07%|False|False
173|DigitalNote|XDN|$1,446,914|$0.000210|6,879,862,431|$32,456|0.93%|17.69%|21.23%|False|False
174|TagCoin|TAG|$1,424,648|$0.261272|5,452,743|$288,440|-0.11%|0.64%|57.61%|False|False
175|SecureCoin|SRC|$1,423,656|$0.184048|7,735,237|$279,332|-0.10%|-0.68%|72.00%|False|False
176|BlockPay|BLOCKPAY|$1,337,180|$0.246335|5,428,300|$7,492|-0.86%|1.64%|-14.15%|True|False
177|Adzcoin|ADZ|$1,315,608|$0.024050|54,703,376|$3,642|-0.87%|-14.05%|141.29%|False|False
178|OKCash|OK|$1,304,885|$0.018349|71,113,495|$7,197|0.45%|2.23%|-9.18%|True|False
179|ChainCoin|CHC|$1,248,489|$0.086271|14,471,661|$13,361|-0.35%|2.04%|12.51%|False|False
180|vTorrent|VTR|$1,226,070|$0.113357|10,815,966|$1,965|-0.07%|-0.69%|15.87%|False|False
181|bitCNY|BITCNY|$1,185,103|$0.145252|8,158,953|$282,595|-0.01%|-0.07%|1.02%|True|False
182|InsaneCoin|INSANE|$1,170,430|$0.063821|18,339,317|$8,551|-1.05%|-11.35%|-6.59%|False|False
183|Verge|XVG|$1,142,670|$0.000085|13,409,472,280|$12,079|-0.51%|2.29%|4.36%|False|False
184|Sphere|SPHR|$1,141,275|$0.370191|3,082,940|$4,815|-0.08%|0.09%|23.90%|True|False
185|Project Decorum|PDC|$1,117,907|$0.022358|50,000,000|$852|0.39%|3.14%|12.86%|True|False
186|Zeitcoin|ZEIT|$1,106,898|$0.000031|36,160,567,051|Low Vol|-0.13%|30.73%|56.60%|False|False
187|HunterCoin|HUC|$1,100,914|$0.063749|17,269,480|$135,977|-0.25%|15.71%|37.70%|False|False
188|Sequence|SEQ|$1,093,278|$0.024497|44,628,880|$4,783|0.16%|5.35%|32.32%|False|False
189|Dynamic|DYN|$1,092,697|$0.687013|1,590,503|$3,265|0.89%|5.97%|35.44%|True|False
190|CageCoin|CAGE|$1,041,229|$0.000010|101,168,328,395|Low Vol|-3.85%|72.23%|1499.89%|False|False
191|Cryptonite|XCN|$1,022,489|$0.003188|320,764,727|$74,285|1.10%|23.39%|47.17%|False|False
192|Mercury|MER|$1,014,844|$0.010148|100,000,000|$19,496|1.34%|-66.62%|17.97%|True|False
193|Bitpark Coin|BPC|$1,006,725|$0.013423|75,000,000|Low Vol|-0.15%|2.66%|10.58%|True|False
194|RaiBlocks|XRB|$999,299|$0.015552|64,255,302|$7,889|0.16%|7.44%|25.41%|False|False
195|Boolberry|XBB|$993,301|$0.104202|9,532,480|$3,832|-0.08%|1.04%|-31.31%|False|False
196|Rise|RISE|$981,282|$0.009138|107,387,215|$2,588|-1.09%|-6.93%|5.15%|True|False
197|AsiaCoin|AC|$964,677|$0.001202|802,589,646|$12,959|0.34%|7.75%|38.81%|False|False
198|ICO OpenLedger|ICOO|$961,039|$2.04|471,795|$2,333|-2.65%|48.89%|55.31%|True|False
199|iCash|ICASH|$924,515|$0.004221|219,023,506|$22,073|-0.10%|31.80%|68.62%|False|False
200|NewYorkCoin|NYC|$911,168|$0.000015|59,719,935,819|Low Vol|-0.83%|19.32%|28.99%|False|False
