#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
129|The ChampCoin|TCC|$24,620,804|$0.149284|164,925,727|$258,474|-0.02%|-3.67%|-20.84%|False|False
130|Safe Exchange...|SAFEX|$24,596,057|$0.011453|2,147,483,647|$530,723|0.08%|-4.40%|-12.15%|True|False
131|Polybius|PLBT|$24,275,683|$6.43|3,773,404|$46,016|-0.50%|-6.48%|-1.97%|True|False
132|Xaurum|XAUR|$24,238,214|$0.190687|127,110,086|$83,040|0.16%|-0.48%|6.04%|True|False
133|Radium|RADS|$23,963,726|$7.18|3,337,537|$781,893|0.32%|10.44%|21.81%|True|False
134|SONM|SNM|$23,827,793|$0.071909|331,360,000|$246,029|-0.39%|-2.49%|-2.24%|True|False
135|SpreadCoin|SPR|$23,714,364|$2.73|8,683,465|$110,316|-0.13%|-0.49%|0.97%|False|False
136|Humaniq|HMQ|$23,560,631|$0.144669|162,858,880|$314,849|-0.04%|-5.59%|-11.33%|True|False
137|Peerplays|PPY|$23,466,108|$6.24|3,762,544|$421,691|0.44%|-5.41%|13.71%|True|False
138|BitBay|BAY|$23,052,849|$0.022877|1,007,702,487|$91,037|-0.20%|-5.52%|-12.43%|True|False
139|PotCoin|POT|$22,733,534|$0.104371|217,814,286|$202,973|-0.20%|-8.62%|-19.27%|False|False
140|EB3 Coin|EB3|$22,610,651|$0.280830|80,513,591|$329,921|0.08%|-4.79%|-20.85%|False|False
141|Santiment Net...|SAN|$22,191,563|$0.371582|59,721,917|$1,083,030|0.15%|-4.51%|-22.39%|True|False
142|Triggers|TRIG|$22,155,729|$0.690089|32,105,593|$4,632,330|-1.49%|-18.22%|175.38%|True|False
143|Crown|CRW|$21,343,203|$1.42|15,051,504|$75,084|0.24%|-7.52%|-13.58%|False|False
144|BlackCoin|BLK|$21,275,014|$0.278657|76,348,468|$1,193,943|-0.11%|-6.85%|0.60%|True|False
145|SIBCoin|SIB|$21,064,566|$1.37|15,357,528|$217,572|0.25%|12.23%|21.95%|False|False
146|Clams|CLAM|$20,889,149|$8.04|2,597,814|$557,084|0.10%|-7.60%|7.28%|True|False
147|ZenCash|ZEN|$20,806,985|$10.15|2,049,156|$349,911|-0.58%|-15.70%|17.10%|False|False
148|Skycoin|SKY|$20,343,912|$3.47|5,869,530|$19,631|-0.64%|-8.54%|3.08%|True|False
149|Shift|SHIFT|$19,716,070|$1.77|11,146,277|$332,898|-0.23%|-13.30%|25.17%|True|False
150|Sprouts|SPRTS|$19,298,017|$0.000044|442,182,396,947|$2,835|0.02%|-7.86%|948.79%|True|False
151|Chronobank|TIME|$19,201,912|$27.04|710,113|$823,411|0.00%|-5.53%|3.76%|True|False
152|DigitalNote|XDN|$19,118,254|$0.002777|6,885,695,758|$2,289,394|-0.06%|-3.21%|22.95%|False|False
153|Unobtanium|UNO|$19,064,713|$96.38|197,809|$20,628|-0.08%|-2.80%|32.69%|False|False
154|MonetaryUnit|MUE|$18,981,796|$0.148256|128,033,611|$155,992|-0.03%|-6.17%|-9.31%|False|False
